tcp_id,date,OK,ERROR,author,title
A71316,1554,3205,1650,"Boccaccio, Giovanni, 1313-1375.","The tragedies, gathered by Ihon Bochas, of all such princes as fell from theyr estates throughe the mutability of fortune since the creacion of Adam, vntil his time wherin may be seen what vices bring menne to destruccion, wyth notable warninges howe the like may be auoyded. Translated into Englysh by Iohn Lidgate, monke of Burye."
A16251,1494,2339,1419,"Boccaccio, Giovanni, 1313-1375.",Here begynnethe the boke calledde Iohn bochas descriuinge the falle of princis princessis [and] other nobles tra[n]slated i[n]to englissh by Iohn ludgate mo[n]ke of the monastery of seint edmu[n]des Bury ...
A32749,1687,1959,786,"Chaucer, Geoffrey, d. 1400.","The works of our ancient, learned, & excellent English poet, Jeffrey Chaucer as they have lately been compar'd with the best manuscripts, and several things added, never before in print : to which is adjoyn'd The story of the siege of Thebes, by John Lidgate ... : together with The life of Chaucer, shewing his countrey, parentage, education, marriage, children, revenues, service, reward, friends, books, death : also a table, wherein the old and obscure words in Chaucer are explained, and such words ... that either are, by nature or derivation, Arabick, Greek, Latine, Italian, French, Dutch, or Saxon, mark'd with particular notes for the better understanding of their original."
A03327,1619,1614,546,"Higgins, John, fl. 1570-1602.","The Falles of vnfortunate princes being a true chronicle historie of the vntimely death of such vnfortunate princes and men of note as haue happened since the first entrance of Brute into this iland vntill this our latter age : whereunto is added the famous life and death of Queene Elizabeth, with a declaration of all the warres, battels and sea-fights, wherein at large is described the battell of 88 with the particular seruice of all such ships and men of note in that action."
A02638,1543,1025,768,"Hardyng, John, 1378-1465?","The chronicle of Ihon Hardyng in metre, fro[m] the first begynnyng of Engla[n]de, vnto ye reigne of Edwarde ye fourth where he made an end of his chronicle. And from yt time is added with a co[n]tinuacion of the storie in prose to this our tyme, now first emprinted, gathered out of diuerse and sondrie autours of moste certain knowelage [et] substanciall credit, yt either in latin orels in our mother toungue haue writen of ye affaires of Englande."
A03184,1556,705,241,"Heywood, John, 1497?-1580?","The spider and the flie A parable of the spider and the flie, made by Iohn Heywood."
A02389,1578,657,333,"Baldwin, William, ca. 1518-1563?","The last part of the Mirour for magistrates wherein may be seene by examples passed in this realme, vvith howe greenous [sic] plagues, vyces are punished in great princes & magistrats, and hovv frayle and vnstable vvorldly prosperity is founde, where fortune seemeth most highly to fauour."
A18561,1483,646,329,"Chaucer, Geoffrey, d. 1400.",[Troilus and Criseyde]
A02817,1554,559,198,"Hawes, Stephen, d. 1523?","The historie of graunde Amoure and la bell Pucel, called the Pastime of plesure co[n]teining the knowledge of the seue[n] sciences, [and] the course of mans life in this worlde. Iuuented [sic] by Stephen Hawes, grome of kyng Henry the seuenth his chamber."
A06558,1484,527,273,"Lydgate, John, 1370?-1451?",[The lyf of our lady]
A15801,1592,514,126,"Wyrley, William, 1565-1618.","The true vse of armorie shewed by historie, and plainly proued by example: the necessitie therof also discouered: with the maner of differings in ancient time, the lawfulnes of honorable funerals and moniments: with other matters of antiquitie, incident to the aduauncing of banners, ensignes, and marks of noblenesse and cheualrie, by William Wyrley."
A06560,1531,442,299,"Lydgate, John, 1370?-1451?","This boke is compyled by Dan Iohn Lydgate monke of Burye, at the excitacion [and] styrynge of the noble and victorious prynce, Kynge Henry the fyfthe, i[n] the honoure glorie [and] reuerence of the byrthe of our moste blessed Lady, mayde, wyfe, [and] mother of our lorde Iesu Christe, chapitred as foloweth by this table"
A03784,1629,433,221,"Hubert, Francis, Sir, d. 1629.","The historie of Edward the Second, surnamed Carnarvan, one of our English kings together with the fatall down-fall of his two vnfortunate favorites Gaveston and Spencer : now published by the author thereof, according to the true originall copie, and purged from those foule errors and corruptions, wherewith that spurious and surreptitious peece, which lately came forth vnder the same tytle, was too much defiled and deformed : with the addition of some other observations both of vse and ornament / by F.H. knight."
A15310,1534,421,229,"Lydgate, John, 1370?-1451?","Here begynnethe the glorious lyfe and passion of seint Albon prothomartyr of Englande, and also the lyfe and passion of saint Amphabel whicheconuerted saint Albon to the fayth of Christe."
A03783,1628,375,197,"Hubert, Francis, Sir, d. 1629.","The deplorable life and death of Edward the Second, King of England Together with the downefall of the two vnfortunate fauorits, Gauestone and Spencer. Storied in an excellent poëm."
A18722,1593,372,118,"Churchyard, Thomas, 1520?-1604.",Churchyards challenge
A47600,1646,358,117,"Kinnaston, Francis, Sir, 1587-1642.","Leoline and Sydanis A romance of the amorous adventures of princes. Together, with sundry affectionate addresses to his mistresse, under the name of Cynthia. Written by Sir Fr. Kinnaston, knight, late one of the squires of the body to His Majesty."
A20829,1596,331,93,"Drayton, Michael, 1563-1631.",Mortimeriados The lamentable ciuell vvarres of Edward the second and the barrons.
A20853,1596,312,78,"Drayton, Michael, 1563-1631.","The tragicall legend of Robert, Duke of Normandy, surnamed Short-thigh, eldest sonne to William Conqueror. VVith the legend of Matilda the chast, daughter to the Lord Robert Fitzwater, poysoned by King Iohn. And the legend of Piers Gaueston, the great Earle of Cornwall: and mighty fauorite of king Edward the second. By Michaell Drayton. The latter two, by him newly corrected and augmented"
A10869,1599,277,118,"Roche, Robert, 1575 or 6-1629.","Eustathia, or the constancie of Susanna containing the preservation of the godly, subversion of the wicked, precepts for the aged, instructions for youth, pleasure with profitte. Penned by R.R.G."
A02342,1559,275,112,"Baldwin, William, ca. 1518-1563?","A myrroure for magistrates Wherein may be seen by example of other, with howe greuous plages vices are punished: and howe frayle and vnstable worldly prosperitie is founde, even of those, whom fortune seemeth most highly to fauour. Anno. 1559."
A75719,1652,268,226,"Vaughan, Robert, engraver.","Theatrum chemicum Britannicum· Containing severall poeticall pieces of our famous English philosophers, who have written the hermetique mysteries in their owne ancient language. / Faithfully collected into one volume, with annotations thereon, by Elias Ashmole, Esq. Qui est Mercuriophilus Anglicus. The first part."
A03326,1574,268,125,"Higgins, John, fl. 1570-1602.",The first parte of the Mirour for magistrates containing the falles of the first infortunate princes of this lande: from the comming of Brute to the incarnation of our sauiour and redemer Iesu Christe.
A01514,1575,255,87,"Gascoigne, George, 1542?-1577.",The poesies of George Gascoigne Esquire
B00463,1577,232,155,Aesop.,"The fabulous tales of Esope the Phrygian, compiled moste eloquently in Scottishe metre by Master Robert Henrison, & now lately Englished. ; Euery tale moralized most aptly to this present time, worthy to be read.."
A12035,1594,212,52,"Shakespeare, William, 1564-1616.",Lucrece
A12291,1568,210,122,"Skelton, John, 1460?-1529.","Pithy pleasaunt and profitable workes of maister Skelton, Poete Laureate. Nowe collected and newly published. Anno 1568"
A02813,1504,210,87,"Hawes, Stephen, d. 1523?",Here begynneth the boke called the example of vertu
A19558,1635,209,78,"Cranley, Thomas, fl. 1635.","Amanda: or, The reformed whore. Composed, and made by Thomas Cranley gent. now a prisoner in the Kings-bench, Anno Dom. 1635"
A06541,1500,206,84,"Lydgate, John, 1370?-1451?, attributed name.",Here endeth a lytyll tratyse named Le assemble de dyeus
A12040,1616,206,58,"Shakespeare, William, 1564-1616.",The rape of Lucrece. By Mr. William Shakespeare
A11028,1596,205,61,"E. L., fl. 1596.","Romes monarchie, entituled the globe of renowmed glorie Briefly comprehending the first foundation and building of Rome by Romulus: the principall warres and conquests of the Romanes after the time of their first choosing consuls, till Iulius Cæsar attaining soly to the Empire, and from him more briefly to Nero. VVhere in small compasse is described, manie most notable, and vertuous acts, atchieued in their said warres, and conquests; strange tragedies, secret practises and policies, ambition, hate, and reuenge: and how insurrections, rebellion, strife, ciuill discord and discention preualing, was the onely plague, ruine, and vtter destruction of many great monarchies, kingdomes, cities, and countries. Translated out of the French and Italian histories by E.L."
A06551,1510,190,111,"Lydgate, John, 1370?-1451?",The courte of sapyence
A13001,1599,190,49,"Storer, Thomas, 1571-1604.","The life and death of Thomas Wolsey Cardinall Diuided into three parts: his aspiring, triumph, and death. By Thomas Storer student of Christ-church in Oxford."
A16208,1578,186,92,"Blenerhasset, Thomas.","The seconde part of the Mirrour for magistrates conteining the falles of the infortunate princes of this lande, from the conquest of Cæsar, vnto the commyng of Duke William the Conquerour."
A10786,1591,184,88,"Ripley, George, d. 1490?","The compound of alchymy. Or The ancient hidden art of archemie conteining the right & perfectest meanes to make the philosophers stone, aurum potabile, with other excellent experiments. Diuided into twelue gates. First written by the learned and rare philosopher of our nation George Ripley, sometime Chanon of Bridlington in Yorkeshyre: & dedicated to K. Edvvard the 4. Whereunto is adioyned his epistle to the King, his vision, his wheele, & other his workes, neuer before published: with certaine briefe additions of other notable writers concerning the same. Set foorth by Raph Rabbards Gentleman, studious and expert in archemicall artes."
A15046,1576,183,63,"Whetstone, George, 1544?-1587?","The rocke of regard diuided into foure parts. The first, the castle of delight: wherin is reported, the wretched end of wanton and dissolute liuing. The second, the garden of vnthriftinesse: wherein are many swéete flowers, (or rather fancies) of honest loue. The thirde, the arbour of vertue: wherein slaunder is highly punished, and vertuous ladies nad gentlewomen, worthily commended. The fourth, the ortchard of repentance: wherein are discoursed, the miseries that followe dicing, the mischiefes of quareling, the fall of prodigalitie: and the souden ouerthrowe of foure notable cousners, with diuers other morall, natural, & tragical discourses: documents and admonitions: being all the inuention, collection and translation of George Whetstons Gent."
A00823,1596,179,83,"Fitz-Geffry, Charles, 1575?-1638.","Sir Francis Drake his honorable lifes commendation, and his tragicall deathes lamentation."
A20836,1605,176,46,"Drayton, Michael, 1563-1631.",Poems: by Michaell Draiton Esquire
A68426,1498,167,110,"Lydgate, John, 1370?-1451?, attributed name.",Hrre [sic] folowyth the interpretac[i]on of the names of goddis and goddesses of this treatyse folowynge as poetes wryte
A02624,1604,166,70,"Herbert, William, fl. 1604.","A prophesie of Cadvvallader, last king of the Britaines containing a comparison of the English kings, with many worthy Romanes, from William Rufus, till Henry the fift. Henry the fift, his life and death. Foure battels betweene the two houses of Yorke and Lancaster. The field of Banbery. The losse of Elizabeth. The praise of King Iames. And lastly a poeme to the yong Prince."
A06550,1480,160,135,"Lydgate, John, 1370?-1451?, attributed name.",[Explicit liber primus de curia sapiencie]
A06539,1500,155,127,"Lydgate, John, 1370?-1451?, attributed name.",Here foloweth the interpretacoin [sic] of the names of goddes and goddesses as is reherced in this tretyse folowynge as poetes wryte
A03431,1555,145,54,"Huggarde, Miles.","A mirrour of loue, which such light doth giue, that all men may learne, how to loue and liue. Compiled and set furth by Myles Hogarde seruaunt to the quenes highnesse"
A03406,1633,145,38,"Bancroft, Thomas, fl. 1633-1658.",The gluttons feauer. VVritten by Thomas Bancroft
A18734,1575,143,45,"Churchyard, Thomas, 1520?-1604.","The firste parte of Churchyardes chippes contayning twelue seuerall labours. Deuised and published, only by Thomas Churchyard Gentilman."
A04786,1547,140,97,"Kelton, Arthur.",A chronycle with a genealogie declaryng that the Brittons and Welshemen are linealiye dyscended from Brute. Newly and very wittely compyled in meter
A02475,1623,134,163,"Hagthorpe, John.","Visiones rerum. = The visions of things. Or Foure poems 1. Principium & mutabilitas rerum. Or, the beginning and mutabilitie of all things. 2. Cursus & ordo rerum. Or, art and nature. 3. Opineo & ratione rerum. Or, wealth and pouertie. 4. Malum & finis rerum. Or, sinne and vertue, concluding with the last Iudgement and end of all things. Wherein the author expresseth his inuention by way of dreame. By Iohn Hagthorpe Gent."
A06202,1597,132,32,"Lok, Henry.","Ecclesiastes, othervvise called The preacher Containing Salomons sermons or commentaries (as it may probably be collected) vpon the 49. Psalme of Dauid his father. Compendiously abridged, and also paraphrastically dilated in English poesie, according to the analogie of Scripture, and consent of the most approued writer thereof. Composed by H.L. Gentleman. Whereunto are annexed sundrie sonets of Christian passions heretofore printed, and now corrected and augmented, with other affectionate sonets of a feeling conscience of the same authors."
A12779,1596,131,118,"Spenser, Edmund, 1552?-1599.","Fovvre hymnes, made by Edm. Spenser"
A20826,1594,128,33,"Drayton, Michael, 1563-1631.",Matilda The faire and chaste daughter of the Lord Robert Fitzwater. The true glorie of the noble house of Sussex.
A05387,1607,125,53,"Lever, Christopher, fl. 1627.","Queene Elizabeths teares: or, Her resolute bearing the Christian crosse inflicted on her by the persecuting hands of Steuen Gardner Bishop of Winchester, in the bloodie time of Queene Marie. Written by Christopher Leuer."
A50034,1641,122,43,"Rogers, Thomas, 1573 or 4-1609 or 10.",Leycesters ghost
A50030,1641,118,45,"Parsons, Robert, 1546-1610.","Leicester's common-wealth conceived, spoken and published with most earnest protestation of dutifull goodwill and affection towards this realme / by Robert Parsons Jesuite ; whereunto is added Leicesters-ghost."
A11401,1595,116,47,"Du Bartas, Guillaume de Salluste, seigneur, 1544-1590.","The first day of the worldes creation: or of the first weeke of that most Christian poet, W. Salustius, Lord of Bartas"
A19155,1610,116,37,"Collins, Thomas, fl. 1610-1615.","The penitent publican his confession of mouth. Contrition of heart. Vnfained repentance. An feruent prayer vnto God, for mercie and forgiuenesse."
A08316,1600,115,39,"Norden, John, 1548-1625?","Vicissitudo rerum An elegiacall poeme, of the interchangeable courses and varietie of things in this world. The first part."
A68918,1581,113,64,"Woodes, Nathaniel, fl. 1580.","An excellent new commedie intitutled, The conflict of conscience contayninge a most lamentable example of the dolefull desperation of a miserable worldlinge, termed by the name of Philologus, who forsooke the trueth of Gods gospel for feare of the losse of lyfe & worldly goods / compiled by Nathaniell Woodes, minister in Norwich ..."
A09538,1599,111,39,"Pett, Peter, fl. 1599.",Times iourney to seeke his daughter Truth and Truths letter to Fame of Englands excellencie.
A18592,1611,107,73,"Chester, Robert, 1566-1640.","The anuals [sic] of great Brittaine. Or, A most excellent monument wherein may be seene all the antiquities of this kingdome, to the satisfac ion both of the vniuersities, or any other place stirred with emulation of long continuance. Excellently figured out in a worthy poem."
A01048,1606,105,43,"Ford, John, 1586-ca. 1640.","Fames memoriall, or The Earle of Deuonshire deceased with his honourable life, peacefull end, and solemne funerall."
A19732,1599,103,72,"Dymoke, Tailboys, attributed name.",Caltha poetarum: or The bumble bee. Composed by T. Cutvvode Esquyre
A07925,1611,102,57,"Murray, David, Sir, 1567-1629.",The tragicall death of Sophinisba. Written by Dauid Murray. Scoto-Brittaine
A16209,1582,99,38,"Blenerhasset, Thomas.",A reuelation of the true Minerua The effect of this booke. Who on earth be gods: and by what meanes mortall men may bee made immortall.
A19931,1596,99,31,"Davies, John, Sir, 1569-1626.","Orchestra or A poeme of dauncing Iudicially proouing the true obseruation of time and measure, in the authenticall and laudable vse of dauncing."
